Name ,Townhall,League_Points,WarStarWon
Auto(TH),13,4280,315
ViktoRiYa,12,3700,309
SultanPeat,13,3335,417
TamickNTJ,14,3125,210
Kitti_k,11,2322,32
ยะเหยิม,8,2170,40
T I N G,9,1952,69
อินไง,11,1699,176
พระเจ้าเสือ,11,1689,198
ta,10,1644,21
ppgo,8,1413,19
THe,8,1378,19
COC,9,1461,28
P`PAKAWAT,9,1354,0
ej HandSOMecool,9,1170,14
bb2499,8,1211,28
aoN,9,1176,38
Senkiji,12,1148,58
jjjjjjj,9,1084,29
(/_;),9,987,72
DAN Hee R9,9,966,24
SabRee,9,943,0
น็อต,8,960,3
เอก,8,944,19
sack,8,882,0
New_jakk,8,861,41
KMapTHaMMaNat2,7,1010,30
MiNase1487,6,881,8
KAKà,8,813,0
xcvx.,8,818,0
NokkRataksaetae,7,852,3
จ้ะเอ๋,8,732,1
เเม็ก,6,691,0
วา,8,688,0
